index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2020-Hojo-NA-10_S70,153477.0,2268.0,18.0,2.0,2020-Hojo-NA-10,Hojo,070_20_Naga_Rice,20.0,Naga,Rice,2020/10/4,36.32806,137.85669,3.87078,F4z1p2,F4z1p2
2020-Hojo-S-1_S21,107996.0,3907.0,8.0,2.0,2020-Hojo-S-1,Hojo,041_20_Sait_Carr,20.0,Sait,Carr,2020/9/9,36.14433,139.22183,4.75623,D6z1v4,D6z1v4
2020-Hojo-S-10_S30,297413.0,1852.0,122.0,13.0,2020-Hojo-S-10,Hojo,042_20_Sait_Eggp,20.0,Sait,Eggp,2020/9/9,36.14525,139.22162,4.75669,D2h1v4,D2h1v4
2020-Hojo-S-2_S22,150857.0,4766.0,25.0,5.0,2020-Hojo-S-2,Hojo,043_20_Sait_Carr,20.0,Sait,Carr,2020/9/9,36.14498,139.222,4.75679,D6z1v4,D6z1v4
2020-Hojo-S-3_S23,120361.0,4245.0,20.0,2.0,2020-Hojo-S-3,Hojo,044_20_Sait_Broc,20.0,Sait,Broc,2020/9/9,36.14456,139.22136,4.75604,D2h1v4,D2h1v4
2020-Hojo-S-4_S24,114232.0,3355.0,11.0,0.0,2020-Hojo-S-4,Hojo,045_20_Sait_Broc,20.0,Sait,Broc,2020/9/9,36.14476,139.21796,4.75366,D6z1v4,NA
2020-Hojo-S-5_S25,155429.0,10738.0,8.0,0.0,2020-Hojo-S-5,Hojo,046_20_Sait_Burd,20.0,Sait,Burd,2020/9/8,36.24158,139.24461,4.83856,F4h3t4,F5z1y1
2020-Hojo-S-6_S26,282531.0,4685.0,21.0,6.0,2020-Hojo-S-6,Hojo,047_20_Sait_Burd,20.0,Sait,Burd,2020/9/8,36.24169,139.25251,4.84447,F3z1t1,F3z1t1
2020-Hojo-S-7_S27,266696.0,2253.0,368.0,5.0,2020-Hojo-S-7,Hojo,048_20_Sait_Yama,20.0,Sait,Yama,2020/9/4,36.20856,139.25225,4.82197,F3z1t1,F3z1t1
2020-Hojo-S-8_S28,165818.0,1259.0,132.0,3.0,2020-Hojo-S-8,Hojo,049_20_Sait_Yama,20.0,Sait,Yama,2020/9/4,36.17028,139.23887,4.7863,D6z1v4,NA
2020-Hojo-S-9_S29,320259.0,6905.0,87.0,35.0,2020-Hojo-S-9,Hojo,050_20_Sait_Stra,20.0,Sait,Stra,2020/9/6,36.2305,139.23021,4.82045,F4z1t1,NA
2021-Hojo-001_S1,148656.0,4838.0,131.0,2.0,Hojo-001,Hojo,131_21_Akit_Edam,21.0,Akit,Edam,2021/4/21,40.04752,140.01768,7.97309,F2a1t1,F2a1t1
