sampleID,sampleID.original,pH,pH.score
732,RR2274,7.2,100
733,RR2275,6.41,100
734,RR2276,6.75,100
735,RR2277,6.85,100
736,RR2278,5.7,32.5
737,RR2279,5.93,72.3
738,RR2280,6.16,94.9
739,RR2281,6.39,100
740,RR2282,6.35,100
741,RR2283,6.06,88.1
742,RR2323,6.73,100
743,RR2324,6.88,100
744,RR2325,6.84,100
745,RR2326,6.9,100
746,RR2327,6.74,100
747,RR2328,7.01,100
748,RR2329,5.84,57.2
749,RR2330,5.52,10.2
750,RR2331,5.56,13.8
751,RR2332,5.69,30.9
752,RR2333,5.6,18.2
753,RR2334,5.74,39.3
754,RR2335,5.96,76.6
755,RR2336,5.68,29.3
756,RR2337,6.12,92.7
766,RR2361,6.91,100
767,RR2362,6.49,100
768,RR2363,6.78,100
769,RR2364,5.93,72.3
770,RR2365,6.2,96.5
771,RR2366,6.78,100
772,RR2367,6.66,100
773,RR2368,6.5,100
774,RR2407,6.94,100
775,RR2408,6.8,100
776,RR2409,6.71,100
777,RR2410,6.93,100
778,RR2411,6.64,100
779,RR2412,7,100
780,RR2413,6.86,100
781,RR2414,6.72,100
782,RR2415,6.9,100
783,RR1467,5.68,29.3
784,RR1468,7.73,62.5
785,RR1469,7.81,48.2
836,QRR226,6.707,100
837,QRR227,7.217,100
838,QRR228,6.787,100
839,QRR229,6.733,100
840,SS115,5.94,73.8
841,SS116,5.78,46.4
842,SS297,6.57,100
843,SS298,6.04,86.2
844,SS299,6.28,98.5
845,SS300,6.33,100
846,SS301,6.61,100
847,SS302,6.3,100
848,SS303,6.42,100
849,SS304,6.62,100
850,SS305,5.82,53.6
851,SS306,5.98,79.3
852,SS307,6.34,100
853,SS308,6.12,92.7
854,SS309,6.2,96.5
855,SS310,5.63,22
856,SS311,6.61,100
857,SS312,6.08,89.8
858,SS313,7.23,100
859,SS314,7.2,100
860,SS315,7.74,60.7
861,SS316,7.62,79.3
862,SS317,7.9,32.5
863,SS318,7.71,65.9
864,SS319,7.74,60.7
865,SS320,7.76,57.2
866,SS321,7.49,92.1
867,SS322,7.55,87.2
868,SS323,6.41,100
869,SS324,6.33,100
870,SS325,6.92,100
871,SS326,6.95,100
872,SS327,5.72,35.8
873,SS328,7.02,100
874,SS329,6.94,100
875,SS330,6.69,100
876,SS331,7.12,100
877,SS332,7.15,100
878,SS333,7,100
879,SS334,6.2,96.5
880,SS335,7.05,100
881,SS336,6.43,100
882,SS337,6.17,95.4
883,SS338,7.2,100
884,SS339,7.45,94.4
885,SS340,7.72,64.2
886,SS341,6.86,100
887,SS342,7.26,100
888,SS343,6.78,100
889,SS344,6.69,100
890,SS345,6.6,100
891,SS346,6.71,100
892,SS347,5.65,24.8
893,SS348,5.27,0
894,SS349,5.54,11.9
895,SS350,5.72,35.8
896,SS351,4.76,0
897,SS352,5.51,9.4
898,SS353,5.25,0
899,SS354,5.51,9.4
900,SS355,6,81.8
901,SS356,5.5,8.6
902,SS357,5.93,72.3
903,SS358,6.26,98.2
904,SS387,8.13,6.7
905,QSS337,6.02,84.1
906,QSS338,5.74,39.3
907,QSS339,6.241,97.7
908,QSS340,6.371,100
909,QSS341,6.163,95.1
910,QSS342,5.978,79.1
911,QSS343,5.616,20.1
912,QSS344,6.009,82.9
913,QSS345,6.029,85.1
914,QSS346,6.644,100
915,QSS347,5.986,80.1
916,QSS348,5.906,68.5
917,QSS349,6.395,100
918,QSS350,6.074,89.4
919,QSS351,6.184,96
920,QSS352,5.944,74.4
921,QSS353,5.679,29.1
922,QSS354,6.142,94
923,QSS355,6.399,100
924,QSS356,6.229,97.4
925,QSS357,6.152,94.5
926,QSS358,5.979,79.2
927,QSS359,6.259,98.2
928,QSS360,6.126,93.1
929,QSS361,6.394,100
930,QSS362,6.089,90.6
931,QSS363,6.202,96.6
932,QSS364,6.33,100
933,QSS365,6.347,100
934,QSS366,6.303,100
935,QSS367,6.045,86.7
936,QSS368,5.965,77.3
937,QSS369,6.192,96.3
938,QSS370,6.509,100
939,QSS371,6.256,98.1
940,QSS372,6.262,98.2
941,QSS373,6.091,90.7
942,QSS374,6.287,98.7
943,QSS375,6.373,100
944,QSS376,6.329,100
945,QSS377,6.025,84.7
946,QSS378,6.162,95
947,QSS379,6.322,100
948,QSS380,6.373,100
949,QSS381,6.327,100
950,QSS382,6.296,98.8
951,QSS383,6.073,89.3
952,QSS384,6.267,98.3
757,RR2338,6.58,100
758,RR2339,6.86,100
759,RR2340,7.07,100
760,RR2341,7.17,100
761,RR2342,7.03,100
762,RR2343,6.61,100
763,RR2344,6.65,100
764,RR2345,6.98,100
765,RR2346,6.5,100
786,RR1624,6.31,100
787,RR1625,6.42,100
788,RR1626,6.11,92.1
789,RR1627,6.14,93.9
790,RR1628,6.6,100
791,RR1629,6.45,100
792,RR1630,6.38,100
793,RR1631,6.53,100
794,RR1632,6.28,98.5
795,RR1633,6.51,100
796,RR1634,6.46,100
797,RR1635,6.6,100
798,RR1636,6.39,100
799,RR1637,6.61,100
800,RR1638,6.49,100
801,RR1639,5.93,72.3
802,RR1640,6.04,86.2
803,RR1641,6.11,92.1
804,RR1642,6.29,98.7
805,RR1643,5.99,80.6
806,RR1644,5.98,79.3
807,RR1645,6.2,96.5
808,RR1646,6.1,91.4
809,RR1647,6.05,87.2
810,RR1648,7.01,100
811,RR1649,6.01,83
812,RR1650,6.02,84.1
813,RR1651,6.07,89
814,RR1652,6.23,97.5
815,RR1653,6.14,93.9
816,RR1654,6.48,100
817,RR1655,6.12,92.7
818,RR1656,6.71,100
819,RR1657,6.45,100
820,RR1658,6.56,100
821,RR1659,6.57,100
822,RR1660,6.11,92.1
823,RR1661,6.44,100
824,RR1662,6.16,94.9
825,RR1663,6.28,98.5
826,RR1664,5.65,24.8
827,RR1665,6.09,90.6
828,RR1666,6.42,100
829,RR1667,6.57,100
830,RR1668,6.3,100
831,RR1669,7.1,100
832,RR1670,6.67,100
833,RR1671,6.24,97.7
834,RR1672,6.42,100
835,RR1673,6.1,91.4
836,QRR226,6.707,100
837,QRR227,7.217,100
838,QRR228,6.787,100
839,QRR229,6.733,100
840,SS115,5.94,73.77302818
841,SS116,5.78,46.37824133
842,SS297,6.57,100
843,SS298,6.04,86.23435567
844,SS299,6.28,98.54385229
845,SS300,6.33,100
846,SS301,6.61,100
847,SS302,6.3,100
848,SS303,6.42,100
849,SS304,6.62,100
850,SS305,5.82,53.62175867
851,SS306,5.98,79.33733123
852,SS307,6.34,100
853,SS308,6.12,92.71024295
854,SS309,6.2,96.5481826
855,SS310,5.63,21.98419013
856,SS311,6.61,100
857,SS312,6.08,89.84425818
858,SS313,7.23,100
859,SS314,7.2,100
860,SS315,7.74,60.74685657
861,SS316,7.62,79.33733123
862,SS317,7.9,32.47181419
863,SS318,7.71,65.87635263
864,SS319,7.74,60.74685657
865,SS320,7.76,57.21372923
866,SS321,7.49,92.05958557
867,SS322,7.55,87.2097796
868,SS323,6.41,100
869,SS324,6.33,100
870,SS325,6.92,100
871,SS326,6.95,100
872,SS327,5.72,35.80647844
873,SS328,7.02,100
874,SS329,6.94,100
875,SS330,6.69,100
876,SS331,7.12,100
877,SS332,7.15,100
878,SS333,7,100
879,SS334,6.2,96.5481826
880,SS335,7.05,100
881,SS336,6.43,100
882,SS337,6.17,95.3697949
883,SS338,7.2,100
884,SS339,7.45,94.41849818
885,SS340,7.72,64.19352156
886,SS341,6.86,100
887,SS342,7.26,100
888,SS343,6.78,100
889,SS344,6.69,100
890,SS345,6.6,100
891,SS346,6.71,100
892,SS347,5.65,24.7676963
893,SS348,5.27,0
894,SS349,5.54,11.86389259
904,SS350,5.72,35.80647844
896,SS351,4.76,0
897,SS352,5.51,9.372139524
898,SS353,5.25,0
899,SS354,5.51,9.372139524
900,SS355,6,81.83489296
901,SS356,5.5,8.634102071
902,SS357,5.93,72.27093328
903,SS358,6.26,98.1731893
895,SS387,8.13,6.7
905,QSS337,6.02,84.13447461
906,QSS338,5.74,39.25314343
907,QSS339,6.241,97.74941686
908,QSS340,6.371,100
