sampleID,Latitude,Longitude
574,61.519,-149.08
575,61.519,-149.08
576,61.519,-149.08
577,61.519,-149.08
578,61.519,-149.08
579,61.519,-149.08
580,61.519,-149.08
581,61.519,-149.08
582,61.519,-149.08
583,61.519,-149.08
584,61.519,-149.08
585,61.519,-149.08
586,61.519,-149.08
587,61.519,-149.08
588,61.519,-149.08
589,61.519,-149.08
590,61.519,-149.08
591,61.519,-149.08
592,61.519,-149.08
593,61.519,-149.08
594,61.519,-149.08
595,61.519,-149.08
596,61.519,-149.08
597,61.519,-149.08
598,61.519,-149.08
599,61.519,-149.08
600,61.519,-149.08
601,61.519,-149.08
602,61.519,-149.08
603,61.519,-149.08
604,61.519,-149.08
605,61.519,-149.08
606,61.519,-149.08
607,61.519,-149.08
608,61.519,-149.08
609,39.45510556,-118.7779694
610,39.45510556,-118.7779694
611,39.45842222,-118.7759194
612,39.45842222,-118.7759194
613,39.49045,-119.0108
614,39.49293,-119.008
615,39.6252778,-119.712222
