,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
174_21_Miyz_Spin,9.708321,76.29168,86.0,Miyz,Spin,Miyz_Spin
187_21_Miyz_Spin,11.0,51.0,62.0,Miyz,Spin,Miyz_Spin
192_21_Miyz_Spin,7.0,15.0,8.0,Miyz,Spin,Miyz_Spin
199_21_Miyz_Spin,3.0,43.0,46.0,Miyz,Spin,Miyz_Spin
202_21_Miyz_Spin,10.584503,115.4155,126.0,Miyz,Spin,Miyz_Spin
217_21_Miyz_Edam,26.0,55.0,29.0,Miyz,Edam,Miyz_Edam
220_21_Miyz_Edam,18.848335,82.848335,64.0,Miyz,Edam,Miyz_Edam
264_21_Naga_Appl,109.0,32.0,141.0,Naga,Appl,Naga_Appl
272_22_Naga_Rice,13.0,32.0,45.0,Naga,Rice,Naga_Rice
277_22_Naga_Rice,3.0,43.0,40.0,Naga,Rice,Naga_Rice
280_22_Naga_Rice,2.7491302,41.25087,44.0,Naga,Rice,Naga_Rice
281_22_Naga_Rice,3.0,35.0,38.0,Naga,Rice,Naga_Rice
301_22_Hokk_Whea,20.323914,17.676086,38.0,Hokk,Whea,Hokk_Whea
313_22_Chib_Whea,2.3206673,9.320667,7.0,Chib,Whea,Chib_Whea
318_22_Miyg_Rice,1.0,14.0,15.0,Miyg,Rice,Miyg_Rice
331_22_Niig_jpea,11.900211,34.09979,46.0,Niig,jpea,Niig_jpea
333_22_Yama_Rice,2.0,27.0,25.0,Yama,Rice,Yama_Rice
334_22_Yama_Rice,3.0,15.0,18.0,Yama,Rice,Yama_Rice
337_22_Yama_Rice,6.9701176,18.029882,25.0,Yama,Rice,Yama_Rice
348_22_Sait_Pear,17.831558,112.16843,129.99998,Sait,Pear,Sait_Pear
365_22_Miee_Soyb,29.0,49.0,20.0,Miee,Soyb,Miee_Soyb
366_22_Miee_Soyb,20.0,44.0,24.0,Miee,Soyb,Miee_Soyb
002_20_Aomo_Rice,7.845162,12.0,4.154838,Aomo,Rice,Aomo_Rice
014_20_Akit_Rice,13.239234,10.760766,24.0,Akit,Rice,Akit_Rice
015_20_Akit_Rice,3.6517277,11.348272,15.0,Akit,Rice,Akit_Rice
127_20_Miyz_Spin,29.034344,22.965656,52.0,Miyz,Spin,Miyz_Spin
026_20_Niig_Rice,9.4221525,8.441272,17.863424,Niig,Rice,Niig_Rice
030_20_Niig_Rice,6.183682,12.0,5.816318,Niig,Rice,Niig_Rice
062_20_Naga_Barl,22.0,38.0,60.0,Naga,Barl,Naga_Barl
065_20_Naga_Onio,17.0,14.0,31.0,Naga,Onio,Naga_Onio
066_20_Naga_Onio,24.0,13.0,37.0,Naga,Onio,Naga_Onio
067_20_Naga_Pump,4.3603325,38.639668,43.0,Naga,Pump,Naga_Pump
144_21_Miyz_Spin,61.931755,119.06829,181.00005,Miyz,Spin,Miyz_Spin
152_21_Miyz_Spin,254.64151,115.35853,370.00003,Miyz,Spin,Miyz_Spin
155_21_Miyz_Spin,61.372475,83.627525,145.0,Miyz,Spin,Miyz_Spin
158_21_Miyz_Spin,287.27924,90.7208,378.00003,Miyz,Spin,Miyz_Spin
169_21_Miyz_Spin,15.237183,154.76282,170.0,Miyz,Spin,Miyz_Spin
198_21_Miyz_Spin,34.000008,32.0,66.00001,Miyz,Spin,Miyz_Spin
225_21_Miyz_Edam,66.08959,76.91041,143.0,Miyz,Edam,Miyz_Edam
230_21_Miyz_Edam,11.935432,36.064568,48.0,Miyz,Edam,Miyz_Edam
255_21_Sait_Spin,234.00003,46.0,280.00003,Sait,Spin,Sait_Spin
266_21_Naga_Appl,73.0,49.0,122.0,Naga,Appl,Naga_Appl
270_21_Naga_Appl,2.9371796,37.93718,35.0,Naga,Appl,Naga_Appl
282_22_Naga_Rice,18.877867,26.122133,45.0,Naga,Rice,Naga_Rice
292_22_Hokk_Whea,9.0,39.0,48.0,Hokk,Whea,Hokk_Whea
306_22_Hokk_Whea,23.0,32.0,55.0,Hokk,Whea,Hokk_Whea
308_22_Hokk_Whea,40.0,34.0,74.0,Hokk,Whea,Hokk_Whea
328_22_Niig_Pear,172.99997,49.0,221.99997,Niig,Pear,Niig_Pear
329_22_Niig_Pear,245.0,76.0,321.0,Niig,Pear,Niig_Pear
336_22_Yama_Rice,11.176058,13.823942,25.0,Yama,Rice,Yama_Rice
346_22_Yama_Rice,2.1257162,11.874284,14.0,Yama,Rice,Yama_Rice
362_22_Miee_Soyb,14.967014,34.032986,49.0,Miee,Soyb,Miee_Soyb
369_22_Miee_Soyb,23.214937,22.785063,46.0,Miee,Soyb,Miee_Soyb
091_20_Hyog_Rice,5.0,39.0,44.0,Hyog,Rice,Hyog_Rice
092_20_Hyog_Rice,4.5848446,18.584845,14.0,Hyog,Rice,Hyog_Rice
061_20_Naga_Barl,27.18763,81.18763,54.0,Naga,Barl,Naga_Barl
063_20_Naga_Onio,22.35727,99.35727,77.0,Naga,Onio,Naga_Onio
041_20_Sait_Carr,44.329483,127.82254,83.49306,Sait,Carr,Sait_Carr
135_21_Akit_Edam,30.20723,67.20723,37.0,Akit,Edam,Akit_Edam
151_21_Miyz_Spin,256.00003,46.0,302.00003,Miyz,Spin,Miyz_Spin
163_21_Miyz_Spin,404.0,20.0,424.0,Miyz,Spin,Miyz_Spin
166_21_Miyz_Spin,194.1164,295.1164,101.0,Miyz,Spin,Miyz_Spin
170_21_Miyz_Spin,53.409363,208.5906,261.99997,Miyz,Spin,Miyz_Spin
185_21_Miyz_Spin,9.090588,17.090588,8.0,Miyz,Spin,Miyz_Spin
194_21_Miyz_Spin,12.839607,86.16039,99.0,Miyz,Spin,Miyz_Spin
213_21_Miyz_Edam,140.55383,386.55386,246.00003,Miyz,Edam,Miyz_Edam
215_21_Miyz_Edam,38.0,81.0,43.0,Miyz,Edam,Miyz_Edam
224_21_Miyz_Edam,5.871151,44.12885,50.0,Miyz,Edam,Miyz_Edam
233_21_Miyz_Edam,11.0,63.0,74.0,Miyz,Edam,Miyz_Edam
239_21_Aomo_Appl,40.0,45.0,5.0,Aomo,Appl,Aomo_Appl
252_21_Aomo_Appl,49.900604,100.900604,51.0,Aomo,Appl,Aomo_Appl
253_21_Sait_Spin,153.88803,86.11195,239.99998,Sait,Spin,Sait_Spin
254_21_Sait_Spin,98.40863,120.591354,218.99998,Sait,Spin,Sait_Spin
256_21_Sait_Spin,56.982315,156.98232,100.0,Sait,Spin,Sait_Spin
279_22_Naga_Rice,36.0,75.0,39.0,Naga,Rice,Naga_Rice
300_22_Hokk_Whea,19.0,15.0,34.0,Hokk,Whea,Hokk_Whea
317_22_Miyg_Rice,16.415749,23.415749,7.0,Miyg,Rice,Miyg_Rice
322_22_Niig_Rice,0.0,14.0,14.0,Niig,Rice,Niig_Rice
335_22_Yama_Rice,12.0,15.0,27.0,Yama,Rice,Yama_Rice
341_22_Yama_Rice,10.0,26.0,16.0,Yama,Rice,Yama_Rice
358_22_Sait_Pear,1.8293915,47.17061,49.0,Sait,Pear,Sait_Pear
373_22_Miee_Soyb,15.783131,55.78313,40.0,Miee,Soyb,Miee_Soyb
374_22_Miee_Soyb,3.5480194,39.45198,43.0,Miee,Soyb,Miee_Soyb
