,Exchangeable_K_ST,Pred_Exchangeable_K_ST,True_Exchangeable_K_ST,土地,作物,土地_作物
122_20_Miyz_Spin,14.569397,16.630604,31.2,Miyz,Spin,Miyz_Spin
069_20_Naga_Rice,1.1000004,8.0,6.8999996,Naga,Rice,Naga_Rice
043_20_Sait_Carr,44.17601,80.63095,124.80696,Sait,Carr,Sait_Carr
050_20_Sait_Stra,14.808304,64.191956,79.00026,Sait,Stra,Sait_Stra
142_21_Miyz_Spin,8.0,33.0,41.0,Miyz,Spin,Miyz_Spin
143_21_Miyz_Spin,16.0,51.0,35.0,Miyz,Spin,Miyz_Spin
154_21_Miyz_Spin,2.0,35.0,33.0,Miyz,Spin,Miyz_Spin
173_21_Miyz_Spin,22.529724,17.470276,40.0,Miyz,Spin,Miyz_Spin
180_21_Miyz_Spin,7.0,81.0,88.0,Miyz,Spin,Miyz_Spin
182_21_Miyz_Spin,35.06443,28.935568,64.0,Miyz,Spin,Miyz_Spin
190_21_Miyz_Spin,5.322674,15.677326,21.0,Miyz,Spin,Miyz_Spin
204_21_Miyz_Spin,4.0,33.0,29.0,Miyz,Spin,Miyz_Spin
208_21_Miyz_Spin,8.0,40.0,32.0,Miyz,Spin,Miyz_Spin
210_21_Miyz_Spin,4.6333275,31.633327,27.0,Miyz,Spin,Miyz_Spin
211_21_Miyz_Spin,17.0,37.0,20.0,Miyz,Spin,Miyz_Spin
212_21_Miyz_Edam,22.258175,12.741825,35.0,Miyz,Edam,Miyz_Edam
231_21_Miyz_Edam,20.0,36.0,16.0,Miyz,Edam,Miyz_Edam
237_21_Miyz_Spin,13.098829,20.90117,34.0,Miyz,Spin,Miyz_Spin
247_21_Aomo_Appl,2.9999962,50.0,52.999996,Aomo,Appl,Aomo_Appl
267_21_Naga_Appl,3.2908325,50.290833,47.0,Naga,Appl,Naga_Appl
268_21_Naga_Appl,2.0,50.0,52.0,Naga,Appl,Naga_Appl
273_22_Naga_Rice,9.656502,111.3435,121.0,Naga,Rice,Naga_Rice
288_22_Hokk_Soyb,26.0,45.0,19.0,Hokk,Soyb,Hokk_Soyb
299_22_Hokk_Whea,16.464195,34.464195,18.0,Hokk,Whea,Hokk_Whea
312_22_Chib_Whea,2.4883804,30.51162,33.0,Chib,Whea,Chib_Whea
315_22_Miyg_Rice,1.0,20.0,19.0,Miyg,Rice,Miyg_Rice
327_22_Niig_Pear,40.329384,22.670616,63.0,Niig,Pear,Niig_Pear
342_22_Yama_Rice,18.057226,24.057226,6.0,Yama,Rice,Yama_Rice
011_20_Akit_Rice,5.299999,17.0,22.3,Akit,Rice,Akit_Rice
016_20_Akit_Rice,16.003824,11.696177,27.7,Akit,Rice,Akit_Rice
017_20_Akit_Soyb,13.593189,29.09319,15.5,Akit,Soyb,Akit_Soyb
019_20_Akit_Soyb,8.399998,46.0,37.600002,Akit,Soyb,Akit_Soyb
123_20_Miyz_Spin,11.100002,29.0,40.100002,Miyz,Spin,Miyz_Spin
130_20_Miyz_Spin,14.200001,40.0,54.2,Miyz,Spin,Miyz_Spin
068_20_Naga_Rice,2.0,8.0,6.0,Naga,Rice,Naga_Rice
131_21_Akit_Edam,37.060947,29.939053,67.0,Akit,Edam,Akit_Edam
132_21_Akit_Edam,47.0,18.0,65.0,Akit,Edam,Akit_Edam
133_21_Akit_Edam,76.35707,36.642933,113.0,Akit,Edam,Akit_Edam
136_21_Akit_Soyb,34.055264,46.944744,81.00001,Akit,Soyb,Akit_Soyb
150_21_Miyz_Spin,15.514118,35.48588,51.0,Miyz,Spin,Miyz_Spin
160_21_Miyz_Spin,17.081448,31.918552,49.0,Miyz,Spin,Miyz_Spin
161_21_Miyz_Spin,18.0,32.0,50.0,Miyz,Spin,Miyz_Spin
175_21_Miyz_Spin,16.153011,63.84698,79.99999,Miyz,Spin,Miyz_Spin
188_21_Miyz_Spin,2.5737782,21.426222,24.0,Miyz,Spin,Miyz_Spin
196_21_Miyz_Spin,20.000008,35.0,55.000008,Miyz,Spin,Miyz_Spin
203_21_Miyz_Spin,37.0,29.0,66.0,Miyz,Spin,Miyz_Spin
216_21_Miyz_Edam,10.0,30.0,20.0,Miyz,Edam,Miyz_Edam
218_21_Miyz_Edam,12.233276,33.233276,21.0,Miyz,Edam,Miyz_Edam
221_21_Miyz_Edam,2.011774,26.988226,29.0,Miyz,Edam,Miyz_Edam
248_21_Aomo_Appl,25.0,37.0,62.0,Aomo,Appl,Aomo_Appl
302_22_Hokk_Whea,4.0,28.0,32.0,Hokk,Whea,Hokk_Whea
303_22_Hokk_Whea,13.0,29.0,42.0,Hokk,Whea,Hokk_Whea
305_22_Hokk_Whea,24.0,35.0,59.0,Hokk,Whea,Hokk_Whea
323_22_Niig_Rice,11.918061,12.081939,24.0,Niig,Rice,Niig_Rice
325_22_Niig_Rice,12.288534,21.711466,34.0,Niig,Rice,Niig_Rice
338_22_Yama_Rice,3.939561,8.060439,12.0,Yama,Rice,Yama_Rice
343_22_Yama_Rice,2.891202,13.891202,11.0,Yama,Rice,Yama_Rice
352_22_Sait_Pear,0.0,33.0,33.0,Sait,Pear,Sait_Pear
364_22_Miee_Soyb,0.9841118,11.015888,12.0,Miee,Soyb,Miee_Soyb
003_20_Aomo_Rice,0.6428652,15.0,15.642865,Aomo,Rice,Aomo_Rice
021_20_Niig_Rice,8.690653,15.008667,6.318014,Niig,Rice,Niig_Rice
138_21_Akit_Soyb,6.0,39.0,45.0,Akit,Soyb,Akit_Soyb
176_21_Miyz_Spin,32.37118,29.628819,62.0,Miyz,Spin,Miyz_Spin
179_21_Miyz_Spin,19.379025,61.620975,81.0,Miyz,Spin,Miyz_Spin
181_21_Miyz_Spin,13.999996,34.0,47.999996,Miyz,Spin,Miyz_Spin
184_21_Miyz_Spin,2.668953,41.331047,44.0,Miyz,Spin,Miyz_Spin
189_21_Miyz_Spin,19.0,33.0,52.0,Miyz,Spin,Miyz_Spin
191_21_Miyz_Spin,5.0,34.0,29.0,Miyz,Spin,Miyz_Spin
193_21_Miyz_Spin,22.954752,29.954752,6.9999995,Miyz,Spin,Miyz_Spin
207_21_Miyz_Spin,1.0807743,28.919226,30.0,Miyz,Spin,Miyz_Spin
240_21_Aomo_Appl,67.95961,34.04041,102.000015,Aomo,Appl,Aomo_Appl
241_21_Aomo_Appl,24.0,51.0,27.0,Aomo,Appl,Aomo_Appl
242_21_Aomo_Appl,26.999992,51.0,77.99999,Aomo,Appl,Aomo_Appl
250_21_Aomo_Appl,80.22496,22.775036,103.0,Aomo,Appl,Aomo_Appl
251_21_Aomo_Appl,31.0,33.0,64.0,Aomo,Appl,Aomo_Appl
258_21_Sait_Spin,7.0,24.0,31.0,Sait,Spin,Sait_Spin
