,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
278_22_Naga_Rice,9.0,46.0,37.0,Naga,Rice,Naga_Rice
285_22_Miyz_Soyb,30.160988,42.160988,12.0,Miyz,Soyb,Miyz_Soyb
286_22_Hokk_Soyb,5.0,14.0,9.0,Hokk,Soyb,Hokk_Soyb
296_22_Hokk_Whea,2.0,21.0,19.0,Hokk,Whea,Hokk_Whea
314_22_Chib_Whea,9.882122,17.882122,8.0,Chib,Whea,Chib_Whea
320_22_Miyg_Rice,1.2013063,10.798694,12.0,Miyg,Rice,Miyg_Rice
330_22_Niig_Pear,223.6506,91.3494,315.0,Niig,Pear,Niig_Pear
340_22_Yama_Rice,1.0,14.0,15.0,Yama,Rice,Yama_Rice
345_22_Yama_Rice,9.996893,20.003107,30.0,Yama,Rice,Yama_Rice
356_22_Sait_Pear,103.03074,56.96926,160.0,Sait,Pear,Sait_Pear
368_22_Miee_Soyb,3.0,27.0,30.0,Miee,Soyb,Miee_Soyb
371_22_Miee_Soyb,7.456253,60.543747,68.0,Miee,Soyb,Miee_Soyb
009_20_Aomo_Rice,0.62381935,13.0,12.376181,Aomo,Rice,Aomo_Rice
094_20_Hyog_Rice,18.0,48.0,30.0,Hyog,Rice,Hyog_Rice
022_20_Niig_Rice,8.282574,14.588453,22.871027,Niig,Rice,Niig_Rice
023_20_Niig_Rice,5.3126364,16.616842,11.304206,Niig,Rice,Niig_Rice
027_20_Niig_Rice,5.6342106,16.0,21.63421,Niig,Rice,Niig_Rice
046_20_Sait_Burd,91.605644,145.48509,53.879448,Sait,Burd,Sait_Burd
048_20_Sait_Yama,89.20346,100.6872,11.483741,Sait,Yama,Sait_Yama
134_21_Akit_Edam,24.0,51.0,75.0,Akit,Edam,Akit_Edam
145_21_Miyz_Spin,128.57645,180.57645,52.0,Miyz,Spin,Miyz_Spin
174_21_Miyz_Spin,35.6359,50.3641,86.0,Miyz,Spin,Miyz_Spin
187_21_Miyz_Spin,12.74242,49.25758,62.0,Miyz,Spin,Miyz_Spin
192_21_Miyz_Spin,16.942905,24.942905,8.0,Miyz,Spin,Miyz_Spin
199_21_Miyz_Spin,0.0,46.0,46.0,Miyz,Spin,Miyz_Spin
202_21_Miyz_Spin,16.546532,109.45347,126.0,Miyz,Spin,Miyz_Spin
217_21_Miyz_Edam,31.0,60.0,29.0,Miyz,Edam,Miyz_Edam
220_21_Miyz_Edam,14.0,50.0,64.0,Miyz,Edam,Miyz_Edam
264_21_Naga_Appl,109.0,32.0,141.0,Naga,Appl,Naga_Appl
