,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC
method,fold,,,,,,,,,,,,,,,,
R,fold5,,0.7140078818183149,,,,,,,,0.7180461266691337,,,,,,
X,fold5,,0.7528504865513236,,,,,,,,0.7448395490646362,,,,,,
S,fold5,,0.7907420398177691,,,,,,,,0.6858897736622875,,,,,,
S,fold5,,,0.6859846709599507,,,,,,,,34.115570068359375,,,,,
R,fold5,,,0.5741378312520112,,,,,,,,7053.522446453089,,,,,
X,fold5,,,0.45889577238087087,,,,,,,,6572.1181640625,,,,,
S,fold5,,,0.5784429260467575,,,,,,,,3755.2468429064593,,,,,
S,fold5,,,,0.62376745467593,,,,,,,,12.402502059936523,,,,
R,fold5,,,,0.6084552487137521,,,,,,,,731.5710857293205,,,,
X,fold5,,,,0.5994992841299838,,,,,,,,728.06787109375,,,,
S,fold5,,,,0.5185056615944468,,,,,,,,650.4497969768553,,,,
S,fold5,,,,,0.7207039440494992,,,,,,,,0.31772735714912415,,,
R,fold5,,,,,0.7150878034502854,,,,,,,,3.8925879483617867,,,
X,fold5,,,,,0.6736875956958617,,,,,,,,3.9106528759002686,,,
S,fold5,,,,,0.7387817582327862,,,,,,,,3.874299692590622,,,
S,fold5,,,,,,0.6319340352130898,,,,,,,,0.027728786692023277,,
R,fold5,,,,,,0.6583022234228729,,,,,,,,0.03715781651580831,,
X,fold5,,,,,,0.6877537557392441,,,,,,,,0.037100158631801605,,
S,fold5,,,,,,0.6500868732580866,,,,,,,,0.03847169739616031,,
S,fold5,,,,,,,0.5419583510797199,,,,,,,,2.15195631980896,
R,fold5,,,,,,,0.5470726514397489,,,,,,,,19.613233695824235,
X,fold5,,,,,,,0.4834840079638796,,,,,,,,20.032033920288086,
S,fold5,,,,,,,0.49754158026538575,,,,,,,,17.806709001691246,
S,fold5,,,,,,,,0.6665342435507808,,,,,,,,5.03746223449707
R,fold5,,,,,,,,0.5595406388590748,,,,,,,,196.31768972498253
X,fold5,,,,,,,,0.5284335259105354,,,,,,,,192.90097045898438
S,fold5,,,,,,,,0.5847206967628503,,,,,,,,192.61526836320297
