index,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__TA06,d__Bacteria;p__TX1A-33,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__WS4,d__Bacteria;p__Zixibacteria
2021-Hojo-133_S133,3,4797,4780,163,527,47,0,4088,0,29,0,0,0,82,11,41,0,0,433,0,127,1105,0,0,96,106,1151,576,12,0,291,4,2368,6540,110,0,0,0,0,0,0,857,0,0,0,0,44
2021-Hojo-134_S134,10,7380,10549,88,1118,192,0,4563,70,14,0,0,30,67,14,117,0,11,1431,0,121,1322,0,0,132,75,2274,1230,13,0,403,0,4061,10894,125,0,5,0,0,0,0,2086,13,0,0,0,11
2021-Hojo-135_S135,5,6340,8271,155,1104,30,0,4351,0,0,0,0,16,157,0,65,0,0,581,0,0,1485,0,0,162,27,1094,1113,46,0,366,0,4481,9368,152,0,6,8,0,0,0,3430,0,0,0,0,15
2021-Hojo-136_S136,4,10201,12819,159,2413,332,0,8161,50,0,0,0,0,168,21,98,0,0,1089,0,0,1934,0,0,420,152,2541,1537,154,0,488,22,6822,16524,292,0,0,6,0,0,0,2437,0,0,0,0,56
2021-Hojo-137_S137,7,5057,8839,120,625,50,0,3556,0,0,0,0,0,131,13,0,0,5,624,0,0,1345,0,0,29,38,1340,931,38,0,207,0,2078,5672,212,0,0,0,0,0,0,2446,0,0,0,0,0
2021-Hojo-138_S138,12,8729,10823,118,913,27,0,5882,12,0,0,0,11,124,0,12,0,0,1269,0,4,1971,0,0,70,25,1265,1569,54,0,300,0,3813,8429,105,5,8,0,0,0,0,2156,0,0,0,0,0
2021-Hojo-139_S139,0,5421,3374,98,587,0,0,3040,0,0,0,0,12,46,0,20,0,0,419,0,0,1364,0,0,144,50,840,739,50,0,350,0,2338,5896,54,0,0,0,0,0,0,1305,0,0,0,0,19
2021-Hojo-140_S140,11,5777,5266,137,704,39,0,3049,0,0,0,0,12,180,0,10,0,0,810,0,0,1704,0,0,115,16,1100,1015,33,0,242,0,2515,4808,92,0,0,0,0,0,0,1533,0,0,0,0,5
2022-Hojo-001_S1,0,7401,18653,167,2331,331,5,12519,1390,0,17,0,0,1195,0,0,0,40,2383,0,0,1416,0,0,85,134,144,2278,9,75,567,57,2827,11448,52,14,27,0,176,15,0,1917,0,0,0,16,9
2022-Hojo-002_S2,0,10945,27972,206,3461,212,0,18221,1934,0,0,0,23,1341,48,0,10,77,1856,0,0,2224,0,0,101,161,230,3547,24,80,644,95,4561,17069,63,21,76,15,167,14,0,2586,7,0,0,0,11
